product_id,category,product_name,target_segment,rate_range_pct,processing_fee_pct,max_amount_lakhs,max_tenure_years,min_credit_score,key_eligibility,usp_1,usp_2,usp_3,cross_sell_with,typical_objection,counter_response
P001,Unsecured,Personal Loan,Salaried Individuals,10.50-21.00,Up to 2.5,40,7,700,Min income 25K/month; min 2 years employed,Instant approval in 10 seconds for pre-approved,Flexible tenure 12-84 months,Zero foreclosure charges after 12 months,Credit Card + CASA,Rate is higher than SBI,Compare total cost including insurance; faster processing saves time; no branch visit needed
P002,Unsecured,Business Loan,SME & MSME Entities,11.50-24.00,2-3,75,7,680,Min 3 years business vintage; min turnover 40L/year,Collateral-free up to 75L for established business,Doorstep service for documentation,Overdraft facility option for working capital needs,Merchant Acquiring + Current Account + Corporate CC,Too many documents needed,Simplified documentation for GST-registered; 3-day approval for existing customers
P003,Vehicle Finance,Auto Loan,Salaried & Self-employed,8.70-14.00,0.5,100,7,700,Min income 3L/year; vehicle not older than 5 years (used),Both new and used car financing,Up to 100% on-road funding for select models,Dealer tie-ups for instant approval at showroom,Credit Card + Insurance + CASA,Axis gives instant at showroom,We offer pre-approved at dealership; lower rate for existing customers; doorstep RC delivery
P004,Vehicle Finance,Tractor Finance,Farmers & Agri-business,9.00-13.50,1-2,15,7,No minimum (alternate assessment),Land ownership OR lease; farming income proof,No CIBIL required - alternate credit assessment,Flexible EMI aligned to harvest cycles,Doorstep processing in rural areas,Personal Loan + KCC + Insurance,Mahindra Finance gives without papers,We finance all brands; lower rate than Mahindra Finance; harvest-linked EMI reduces stress
P005,Vehicle Finance,Commercial Vehicle Loan,Fleet owners & Businesses,9.50-14.50,1-1.5,100 per vehicle,7,680,Min 1 year in transport business; valid permits,Fleet discount for 5+ vehicles,Used CV financing (up to 7 years old),Step-up EMI for new business owners,Corporate CC (fuel) + Business Loan + Insurance,SBI rate is lower for fleet,Our fleet processing is 5x faster; dedicated fleet RM; same-day approval for repeat customers
P006,Secured,Home Loan,Individuals & Co-applicants,8.50-9.75,0.5 (max 10K),1000,30,680,Min income 3L/year; property approved,Lowest effective rate in market considering benefits,30-year tenure available; doorstep service,Balance transfer with top-up at competitive rate,CASA + Life Insurance + Home Insurance + CC,SBI is 8.25%,Total cost of ownership is lower; 7-day disbursement vs SBI 21 days; flexible income assessment for self-employed
P007,Secured,Loan Against Property (LAP),Individuals & Businesses,9.00-12.50,1.0,500,15,700,Clear property title; min property value 25L,Accepts residential + commercial property,Up to 70% LTV; no end-use restriction,Overdraft option for business use flexibility,Business Loan top-up + Current Account,ICICI gives 65% LTV at 9.25%,We offer 70% LTV + faster legal + accept wider property types + overdraft flexibility
P008,Payments,Credit Card (Regalia/Infinia),Salaried HNI,36% (revolving),Nil joining (Regalia) / 10K (Infinia),10L (Infinia) / 5L (Regalia),NA,750,Min income 12L (Regalia) / 21L (Infinia),Best reward program in India for travel + dining,Airport lounge access unlimited (Infinia),Milestone benefits + fuel surcharge waiver,Auto Loan + Home Loan + CASA + Investment,AMEX gives better rewards,Our acceptance is 5x wider; better fuel/grocery rewards; companion domestic flights
P009,Payments,Merchant Acquiring (POS),Retail Merchants & Businesses,1.5-1.8% MDR,Nil terminal (for CASA holders),NA,NA,NA,Valid business registration; min 6 months operation,Free POS terminal for business banking customers,Same-day settlement at no extra cost,Integrated with QR + tap + UPI + card,Business Loan + Current Account + Corporate CC,Paytm gives free terminal,Our POS is free with current account; same-day settlement; bundled lending at lower rates; dedicated relationship
P010,Payments,Payment Gateway,Online Businesses,1.8-2.2% per txn,Nil setup,NA,NA,NA,Valid business; website/app operational,Banking-grade security; all payment modes,Integration with HDFC business banking for instant settlement,API-first design with 99.99% uptime SLA,Business Loan + Current Account + Corporate CC,Razorpay has better API,Our PG + banking bundle saves 2% on float; instant settlement; relationship pricing reduces effective MDR
P011,Payments,Corporate Credit Cards & CPS,Corporates (50+ employees),15-42 (revolving),Nil issuance,25L per card,NA,NA,Company registered; min 50 employees for bulk; corporate guarantee,Spend analytics dashboard with category controls per employee grade,Purchase cards for vendor payments reducing cheque/RTGS cost,Fleet fuel cards with mileage tracking and driver-level limits,Salary Accounts + Business Loan + Insurance,Axis gives higher rebate,Total value beyond rebate — spend controls save 8-10% on unauthorized T&E; SAP API integration; fleet card bundled savings
P012,Digital,ECOM Payment Solutions,E-Commerce & Marketplaces,1.5-2.0% per txn,Nil setup,NA,NA,NA,E-commerce platform with valid business; min 100 sellers for marketplace,Auto-split settlement between marketplace commission and seller payouts,RBI-compliant nodal/escrow account management included,Transaction-data-based seller lending as revenue-share for marketplace,Nodal Account + Seller Lending + BBPS Integration,Razorpay/Cashfree better APIs,Bank PG is 20-30% cheaper at scale; settlement compliance built-in; seller lending creates stickiness
P013,Secured,Loan Against Securities (LAS),HNI & Investors,8.50-10.50,0.25,No cap (LTV-based),Revolving/Renewable,NA,Min portfolio ₹25L in approved MF/equities/bonds; demat holding,Up to 65% LTV on approved mutual funds with overdraft facility,Fully digital pledge process — done in 2 hours; no physical DIS,Proactive margin alerts with 2-day grace period before liquidation,Education Loan + Wealth Advisory + Credit Card (Infinia),ICICI gives 60% LTV at 9.5%,We offer 65% LTV at 8.75%; digital pledge; OD facility (pay interest only on utilized); cross-sell EL at concessional rate
P014,Unsecured,Education Loan,Students & Parents,8.50-11.50 (domestic) / 9.0-12.0 (abroad),Nil,75 (domestic) / 150 (abroad),15,NA,Admission to recognized institution; co-applicant with income proof,Moratorium during study + 6 months post-course; concessional rate for LAS customers,Covers tuition + living + travel + laptop for foreign universities,Collateral-free up to 7.5L (domestic); property/FD accepted for higher,LAS (for HNI parents) + Credit Card + CASA,SBI Scholar Loan 8.15%,Faster processing (7 days vs SBI 30 days); covers more cost heads; easier documentation for working parents; LAS + EL combo pricing
P015,Digital,Digital Banking & BankOne API Platform,Fintechs & Digital Platforms,Revenue share model,Nil integration,NA,NA,NA,Valid business entity; regulatory compliance (NBFC/PPI/PA license as applicable),Full embedded banking stack — accounts + cards + lending + deposits via REST API,Co-branded virtual/physical cards with revenue-share; UPI PSP partnership,Sandbox with production-like data for testing before go-live; 99.99% uptime SLA,Co-branded Cards + Lending API + FD-in-App + UPI PSP,Yes Bank/Kotak API Banking,Tier-1 bank stability (vs small bank risk); largest fintech ecosystem; contractual wind-down protection; FLDG clarity
P016,Payments,DPPS — Prepaid Cards & Direct Payments,Corporates & Institutions,Service charge based,Nil setup,50L per card (corporate),NA,NA,Corporate entity; min 100 cards/batch for bulk,Instant issuance of prepaid cards for vendor advances with spend controls,Salary advance facility for frontline employees via prepaid/wallet,Full audit trail + real-time reporting + ERP/SAP integration for compliance,Salary Accounts + Corporate FD + Treasury Products,Sodexo/Edenred meal cards,Broader use-case coverage (vendor + gift + travel + meal); bank-grade security; treasury bundling advantage; no third-party dependency
P017,Liabilities,Salary Accounts & Corporate FD,Corporates & Employees,3.0 (SB) / 7.0-7.5 (FD),Nil,NA (SB) / No cap (FD),NA (SB) / 7 days-10 years (FD),NA,Corporate tie-up agreement; min 100 employees for dedicated program,Tiered salary account benefits by grade — CC pre-approved + home loan preferential + insurance bundle,Sweep-in FD with auto-breakage for optimal liquidity; overnight FD for treasury,WhatsApp banking for frontline staff; zero-balance for contractual employees,Credit Cards + Home Loan + Insurance + PL + DPPS Prepaid,SBI/Kotak salary programs,Premium benefits drive employee retention; WhatsApp banking for non-branch staff; salary advance facility; zero-disruption migration with dedicated SPOC
P018,Secured,Infrastructure & Equipment Finance,Infra & Construction Cos,9.50-13.00,1.0-2.0,500 per asset,10,NA,Active government/infrastructure contract; min 2 years in business; valid permits,Milestone-linked EMI aligned to NHAI/government payment cycles,All equipment types: excavators + cranes + tippers + loaders + road rollers,Government receivable discounting as bridge finance between milestone payments,CV Loans + LAP (warehouse) + Business Loan + Fuel Cards,L&T Finance/Srei,Multi-product relationship vs equipment-only NBFC; milestone EMI structuring; fuel card for entire fleet; faster processing for existing customers
P019,Partnerships,ABCP — Channel Distribution & Co-branding,Insurance / AMC / Wealth Partners,Commission-based,NA,NA,NA,NA,Valid IRDAI/SEBI registered entity; distribution agreement; co-branding approval,Access to HDFC branch network (5000+ branches) + salary account employee base (2M+),Co-branded product design (term insurance for HL customers; travel insurance for CC holders),Dedicated digital shelf on HDFC mobile app reaching 40M MAU,Salary Accounts + Credit Cards + Home Loans + Wealth Advisory,ICICI/SBI distribution partnerships,Higher conversion quality (3.2% vs 1.8%); focused salary base for group insurance; HL customer base for property insurance; digital shelf for younger demographics
